id,nome_do_produto,nome_da_empresa,data_de_fabricacao,data_de_validade,numero_de_serie,instrucoes_de_armazenamento
1,Nicotine Polacrilex,Target Corporation,2020-02-18,2022-09-17,CR25 1551 4467 2549 4402 1,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
2,fentanyl citrate,"Galena Biopharma, Inc.",2019-12-06,2022-12-25,FR29 5951 7573 74OY XKGX 6CSG D20,bibendum morbi non quam nec dui luctus rutrum nulla tellus in
3,NITROUS OXIDE,Keen Compressed Gas Co. Inc.,2019-12-22,2023-11-07,CZ09 8588 0858 8435 9140 2695,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent
4,Norepinephrine Bitartrate,Cantrell Drug Company,2019-12-24,2024-08-19,MT04 VJPY 0772 3DCE K8U3 WIVL VV3K AEN,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
5,"ACETAMINOPHEN, PHENYLEPHRINE HYDROCHLORIDE",Moore Medical LLC,2020-04-14,2024-01-14,LV23 ELDS 2GD5 X19P VCSI K,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
6,Silicea Belladonna,Uriel Pharmacy Inc.,2020-07-18,2023-10-05,FR57 7414 7254 046O IHVX AV6L H71,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
7,Spironolactone,REMEDYREPACK INC.,2020-07-17,2022-11-18,SM28 B981 5118 903W JY0C 5KVO 3QD,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
8,Aspirin,"L.N.K. International, Inc.",2020-02-22,2023-03-14,KZ63 800H NM4B ZOWB YYUI,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
9,eucalyptus globulus,Wild Child W A Pty Ltd,2019-09-06,2023-05-21,GT74 LHWJ FCXL JNQT ZCXM 4761 GWSP,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
10,Titanium Dioxide,Coty US LLC,2019-12-08,2022-12-08,FR29 5791 5333 58XR G4PR IG28 D08,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
11,ARMODAFINIL,KAISER FOUNDATION HOSPITALS,2020-01-23,2024-01-09,FR38 9313 6310 429X 9ILJ GZXB B00,magna at nunc commodo placerat praesent blandit nam nulla integer pede
12,"Avobenzone, Homosalate, Octisalate, and Oxybenzone","MSD Consumer Care, Inc.",2019-09-21,2023-12-23,VG63 ETIS 2815 6498 5427 9529,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
13,CYCLOBENZAPRINE HYDROCHLORIDE,STAT Rx USA LLC,2020-06-21,2024-02-21,GI20 AHOA Y6VR W5NK 8XOJ IVE,sit amet erat nulla tempus vivamus in felis eu sapien
14,Ampicillin and Sulbactam,West-Ward Pharmaceutical Corp.,2019-09-10,2022-09-02,CZ41 9298 1779 4217 6614 9109,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
15,Desogestrel/Ethinyl Estradiol and Ethinyl Estradiol,Barr Laboratories Inc.,2019-10-09,2024-07-17,MR14 2692 8656 0921 2556 7562 822,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
16,Escitalopram,REMEDYREPACK INC.,2019-10-29,2024-04-03,FR33 7761 4337 92AI P6CC MLSP A89,maecenas tristique est et tempus semper est quam pharetra magna ac consequat
17,ALOE VERA LEAF,Washington Homeopathic Products,2020-03-21,2023-03-31,FR22 8906 2439 72RU 4K1V NOIA E63,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
18,"CAMPHOR , MENTHOL , METHYL SALICYLATE","GUANGZHOU BAIYUNSHAN PHARMACEUTICAL CO., LTD. BAIYUNSHAN HEJIGONG PHARMACEUTICAL FACTORY",2020-01-28,2024-02-15,BR83 1166 1065 2664 1535 5865 595W C,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
19,Baclofen,Lake Erie Medical DBA Quality Care Products LLC,2019-12-27,2023-10-12,MU21 ACZT 2423 5200 9032 7228 485M KD,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
20,OCTINOXATE,Parfums Christian Dior,2020-03-08,2023-09-26,FR55 3626 3906 41UZ JXMD XACG A96,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
21,clindamycin phosphate and benzoyl peroxide,Mylan Pharmaceuticals Inc.,2019-12-10,2022-09-26,RS60 4403 8357 6706 6171 54,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus
22,amoxicillin,Clinical Solutions Wholesale,2020-02-06,2024-02-09,FR13 8670 0208 74R2 4758 MAZA O94,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec
23,Midazolam Hydrochloride,Atlantic Biologicals Corps,2019-10-27,2023-01-12,PL32 3465 8615 4292 6534 2245 1138,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit
24,PHOSPHORUS,BrandStorm HBC,2019-12-25,2023-12-22,SE88 6246 9972 8648 6523 5728,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
